OWNERID,REGIONID,PARENTREGIONID,ISPARENT,NAME,DESCRIPTION,CREATEDBY,CREATEDON,LASTMODIFIEDBY,LASTMODIFIEDON,ZIPCODE,CATEGORYTYPE,CONTINENTID,CONTINENTNAME,ZONEID,ZONENAME,AREAID,AREANAME,CLUSTERID,CLUSTERNAME,BRANCHID,BRANCHNAME,LOCATIONID,LOCATIONNAME,PROCESSID,PROCESSVERSION,LAYOUTID
721,5440,5347,0,ODT-Thiruvananthapuram,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5441,5347,0,BO Chennai,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5442,5347,0,CEPC Chennai,,1,30-JAN-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5443,5347,0,ODT-Chennai,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5444,5347,0,BO Bengaluru,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5445,5347,0,ODT-Bengaluru,,1,30-JAN-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5446,5347,0,NBFC Hyderabad,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5447,5347,0,NBFC Bengaluru,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5448,5347,0,CEPC Coimbatore,,1,30-JAN-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5449,5347,0,BO Vijayawada,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5450,5348,0,BO Kolkata,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5451,5348,0,CEPC Kolkata,,1,30-JAN-19,5475,22-JUN-20,,3,,,,,,,,,,,,,0,0,-1
721,5452,5348,0,ODT-Kolkata,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
721,5453,5348,0,BO Patna,,1,30-JAN-19,1,30-JAN-19,,3,,,,,,,,,,,,,0,0,-1
